Naam,URL,koppelbedrijf,brandstof,prijs,datum
TinQ Millingen aan de Rijn,https://www.tinq.nl/tankstations/millingen-aan-de-rijn-heerbaan#default,Esso Vissers Bergh Noord,Euro95 E10,1.819,2025-12-13
TinQ Millingen aan de Rijn,https://www.tinq.nl/tankstations/millingen-aan-de-rijn-heerbaan#default,Esso Vissers Bergh Noord,AdBlue,0.999,2025-12-13
Texaco horst,https://bg.fuelo.net/gasstation/id/38090?lang=bg,Esso Vissers Horst,Euro 95,"2,359",2025-12-14
Texaco horst,https://bg.fuelo.net/gasstation/id/38090?lang=bg,Esso Vissers Horst,Diesel,"1,981",2025-12-14
Texaco horst,https://bg.fuelo.net/gasstation/id/38090?lang=bg,Esso Vissers Horst,LPG,"0,783",2025-12-14
Texaco horst,https://bg.fuelo.net/gasstation/id/38090?lang=bg,Esso Vissers Horst,Diesel Premium,"0,000",2025-12-14
BP Express Sevenum,https://www.tankje.nl/GasStation/Details/2445,Esso Vissers Horst,Euro 95 (E10),"1,97",2025-12-14
BP Express Sevenum,https://www.tankje.nl/GasStation/Details/2445,Esso Vissers Horst,Diesel (B7),"1,75",2025-12-14
TinQ Venray Henri Dunanstraat,https://www.tinq.nl/tankstations/venray-henri-dunantstraat#default,Esso Vissers Horst,Diesel B7,1.509,2025-12-14
TinQ Venray Henri Dunanstraat,https://www.tinq.nl/tankstations/venray-henri-dunantstraat#default,Esso Vissers Horst,Euro95 E10,1.735,2025-12-14
TinQ druten,https://www.tinq.nl/tankstations/druten-industrieweg#default,BP Vissers Afferden,Diesel B7,1.589,2025-12-14
TinQ druten,https://www.tinq.nl/tankstations/druten-industrieweg#default,BP Vissers Afferden,Euro95 E10,1.819,2025-12-14
TinQ druten,https://www.tinq.nl/tankstations/druten-industrieweg#default,BP Vissers Afferden,Superplus 98 E5,1.989,2025-12-14
TinQ druten,https://www.tinq.nl/tankstations/druten-industrieweg#default,BP Vissers Afferden,HVO100,2.091,2025-12-14
TinQ Winssen - Leegstraat,https://www.tinq.nl/tankstations/winssen-leegstraat#default,BP Vissers Afferden,Diesel B7,1.719,2025-12-14
TinQ Winssen - Leegstraat,https://www.tinq.nl/tankstations/winssen-leegstraat#default,BP Vissers Afferden,Euro95 E10,1.929,2025-12-14
TinQ Winssen - Leegstraat,https://www.tinq.nl/tankstations/winssen-leegstraat#default,BP Vissers Afferden,Superplus 98 E5,2.149,2025-12-14
TinQ Megen - Noord zuid,https://www.tinq.nl/tankstations/megen-noord-zuid#default,BP Vissers Afferden,Superplus 98 E5,2.129,2025-12-14
TinQ Megen - Noord zuid,https://www.tinq.nl/tankstations/megen-noord-zuid#default,BP Vissers Afferden,Diesel B7,1.669,2025-12-14
TinQ Megen - Noord zuid,https://www.tinq.nl/tankstations/megen-noord-zuid#default,BP Vissers Afferden,LPG,0.699,2025-12-14
TinQ Megen - Noord zuid,https://www.tinq.nl/tankstations/megen-noord-zuid#default,BP Vissers Afferden,Euro95 E10,1.899,2025-12-14
shell babberich,https://bg.fuelo.net/gasstation/id/37998,Esso Vissers Bergh Noord,FuelSave Euro 95,"2,217",2025-12-14
shell babberich,https://bg.fuelo.net/gasstation/id/37998,Esso Vissers Bergh Noord,FuelSave Diesel,"2,009",2025-12-14
shell babberich,https://bg.fuelo.net/gasstation/id/37998,Esso Vissers Bergh Noord,Autogas,"0,783",2025-12-14
shell babberich,https://bg.fuelo.net/gasstation/id/37998,Esso Vissers Bergh Noord,V-Power,"0,000",2025-12-14
shell babberich,https://bg.fuelo.net/gasstation/id/37998,Esso Vissers Bergh Noord,V-Power Diesel,"0,000",2025-12-14
TinQ zevenaar,https://www.tinq.nl/tankstations/zevenaar-edisonstraat#default,Esso Vissers Bergh Noord,Diesel B7,1.619,2025-12-14
TinQ zevenaar,https://www.tinq.nl/tankstations/zevenaar-edisonstraat#default,Esso Vissers Bergh Noord,Euro95 E10,1.839,2025-12-14
TinQ zevenaar,https://www.tinq.nl/tankstations/zevenaar-edisonstraat#default,Esso Vissers Bergh Noord,Superplus 98 E5,2.089,2025-12-14
TinQ Millingen aan de Rijn,https://www.tinq.nl/tankstations/millingen-aan-de-rijn-heerbaan#default,Esso Vissers Bergh Noord,Superplus 98 E5,2.119,2025-12-14
TinQ Millingen aan de Rijn,https://www.tinq.nl/tankstations/millingen-aan-de-rijn-heerbaan#default,Esso Vissers Bergh Noord,Diesel B7,1.589,2025-12-14
TinQ Millingen aan de Rijn,https://www.tinq.nl/tankstations/millingen-aan-de-rijn-heerbaan#default,Esso Vissers Bergh Noord,LPG,0.749,2025-12-14
TinQ Millingen aan de Rijn,https://www.tinq.nl/tankstations/millingen-aan-de-rijn-heerbaan#default,Esso Vissers Bergh Noord,Euro95 E10,1.829,2025-12-14
TinQ Millingen aan de Rijn,https://www.tinq.nl/tankstations/millingen-aan-de-rijn-heerbaan#default,Esso Vissers Bergh Noord,AdBlue,0.999,2025-12-14
